time,open,high,low,close,SMA UCL Bands,SMA LCL Bands,Candles (Цена откр.),Candles (Макс.,Candles (Мин.),Candles (Закрыть),Z-Score,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Down Trendline,Up Trendline,Volume,Volume MA,24H Volume
1755271320,0.01939,0.019463,0.019308,0.019352,NaN,NaN,0,0,0,0,-1.3130939806716597,0,1,2,3,-1,-2,-3,0.02030400000000009,NaN,17632092,29653917.29,633189353.8622549
1755271350,0.019359,0.019385,0.019312,0.019328,NaN,NaN,0,0,0,0,-1.3474332854448632,0,1,2,3,-1,-2,-3,0.02029500000000009,NaN,7915595,29596464.595,633639902.5351889
1755271380,0.019328,0.019335,0.01925,0.019315,NaN,NaN,0,0,0,0,-1.3502461638012426,0,1,2,3,-1,-2,-3,0.020286000000000092,NaN,15025689,29349962.005,633639902.5351889
1755271410,0.019326,0.019647,0.019326,0.019558,NaN,NaN,0,0,0,0,-0.6993570283106896,0,1,2,3,-1,-2,-3,0.020277000000000094,NaN,36321920,29382311.255,634503626.1471308
1755271440,0.019557,0.019642,0.019504,0.019582,NaN,NaN,0,0,0,0,-0.6156337808185578,0,1,2,3,-1,-2,-3,0.020268000000000095,NaN,21900213,29376172.375,634503626.1471308
1755271470,0.019574,0.019575,0.019408,0.019427,NaN,NaN,0,0,0,0,-1.0130251731112605,0,1,2,3,-1,-2,-3,0.020259000000000096,NaN,14664501,29274443.235,635095137.3456889
1755271500,0.019429,0.019541,0.019386,0.019421,NaN,NaN,0,0,0,0,-1.0053705241544353,0,1,2,3,-1,-2,-3,0.020250000000000098,NaN,17441320,29069706.79,635095137.3456889
1755271530,0.01942,0.019425,0.019331,0.019364,NaN,NaN,0,0,0,0,-1.1377787255912621,0,1,2,3,-1,-2,-3,0.0202410000000001,NaN,17385589,28643804.775,635618107.988493
1755271560,0.019364,0.019455,0.01935,0.019377,NaN,NaN,0,0,0,0,-1.0784648890208417,0,1,2,3,-1,-2,-3,0.0202320000000001,NaN,13635346,28257676.745,635618107.988493
1755271590,0.019385,0.01946,0.019383,0.01941,NaN,NaN,0,0,0,0,-0.9670794181136741,0,1,2,3,-1,-2,-3,0.020223000000000102,NaN,10215994,28067793.005,635822377.426181
1755271620,0.01941,0.019455,0.019331,0.019344,NaN,NaN,0,0,0,0,-1.1362404235975396,0,1,2,3,-1,-2,-3,0.020214000000000103,NaN,11959651,27872340.935,635822377.426181
1755271650,0.019342,0.01946,0.019318,0.019368,NaN,NaN,0,0,0,0,-1.0438508133766882,0,1,2,3,-1,-2,-3,0.020205000000000105,NaN,14396447,27484572.43,635971388.963765
1755271680,0.019369,0.019405,0.019346,0.019358,NaN,NaN,0,0,0,0,-1.0552159586461485,0,1,2,3,-1,-2,-3,0.020196000000000106,NaN,9026973,27303731.955,635971388.963765
1755271710,0.019363,0.019365,0.0192,0.01927,NaN,NaN,0,0,0,0,-1.2963797128588594,0,1,2,3,-1,-2,-3,0.020187000000000108,NaN,23860920,27272970.915,636442137.131875
1755271740,0.01927,0.019329,0.019249,0.019287,NaN,NaN,0,0,0,0,-1.2134480879116507,0,1,2,3,-1,-2,-3,0.02017800000000011,NaN,14961849,27018349.565,636442137.131875
1755271770,0.019283,0.019286,0.019092,0.019133,NaN,NaN,0,0,0,0,-1.646917136988216,0,1,2,3,-1,-2,-3,0.02016900000000011,NaN,25903089,26365895.58,637076999.7837731
1755271800,0.019128,0.019367,0.019115,0.019232,NaN,NaN,0,0,0,0,-1.3117562463988726,0,1,2,3,-1,-2,-3,0.020160000000000112,NaN,27149030,25869368.185,637076999.7837731
1755271830,0.019234,0.0194,0.019205,0.019386,NaN,NaN,0,0,0,0,-0.8064711754189093,0,1,2,3,-1,-2,-3,0.020151000000000113,NaN,20392246,25679095.4,637811278.9669011
1755271860,0.019386,0.019394,0.019224,0.019256,NaN,NaN,0,0,0,0,-1.2002384171490244,0,1,2,3,-1,-2,-3,0.020142000000000115,NaN,13841640,25548053.98,637811278.9669011
1755271890,0.019235,0.019314,0.018815,0.018927,NaN,NaN,0,0,0,0,-2.174408817987167,0,1,2,3,-1,-2,-3,0.020133000000000116,NaN,55148940,25586716.55,638861706.647594
1755271920,0.018927,0.019072,0.018694,0.018805,NaN,NaN,0,0,0,0,-2.446693458071171,0,1,2,3,-1,-2,-3,0.020124000000000117,NaN,121916300,25938594.455,638861706.647594
1755271950,0.018794,0.019082,0.018771,0.019001,NaN,NaN,0,0,0,0,-1.7809057745597134,0,1,2,3,-1,-2,-3,0.02011500000000012,NaN,43527372,25933634.22,641762590.5172179
1755271980,0.019009,0.019286,0.019,0.019236,NaN,NaN,0,0,0,0,-1.0286161447268007,0,1,2,3,-1,-2,-3,0.02010600000000012,NaN,32487223,25220838.505,641762590.5172179
